x,curve,errorY-high,errorY-low,errorX-left,errorX-right
0.01,361.765,482.177,277.773,340.88,369.534
0.171954,344.307,432.69,284.11,325.628,352.878
0.185038,343.771,431.171,284.305,325.16,352.367
0.203728,343.005,429,284.583,324.491,351.637
0.404341,334.787,405.704,287.566,317.311,343.796
0.616169,326.109,381.106,290.716,309.729,335.517
0.942009,312.761,343.267,295.562,303.712,322.782
0.945747,312.607,342.833,295.333,303.643,322.636
0.949485,329.653,342.399,295.104,303.573,322.49
1.05914,322.753,329.666,288.399,301.548,318.204
1.27408,309.228,335.228,275.255,297.579,309.804
1.38062,302.524,337.984,268.74,295.611,304.232
1.49027,295.624,340.822,262.035,288.176,298.497
1.5912,289.771,343.433,255.863,281.331,293.219
1.61051,288.651,343.933,254.695,280.021,292.209
1.7077,283.016,337.126,248.818,273.431,287.126
2.67713,226.803,269.229,190.197,207.691,241.56
2.9064,213.508,253.171,176.333,234.721,230.783
2.99798,208.198,255.541,170.795,245.518,226.478
3.00608,207.728,255.751,172.014,246.473,226.098
3.0148,208.45,255.976,173.326,247.502,225.688
3.23722,226.864,261.732,206.786,262.291,215.233
3.33566,235.014,270.74,221.595,268.837,210.606
3.45154,244.607,281.345,239.029,276.543,224.268
3.57116,254.511,292.292,242.889,284.497,238.371
3.67334,262.97,301.642,246.186,283.772,250.417
3.7967,273.182,312.931,250.167,282.897,259.859
3.89326,281.177,314.529,253.283,282.212,267.25
3.89949,281.693,314.632,253.309,282.167,267.727
4.11942,280.517,318.27,254.233,280.607,284.559
5.54178,272.911,341.798,260.208,270.516,276.814
5.76918,271.695,345.559,261.164,307.474,275.576
5.97852,270.576,349.022,262.043,294.54,274.436
5.98039,270.566,349.053,262.075,294.424,274.426
6.20779,307.524,352.814,266.014,280.374,273.188
6.21776,307.195,352.979,266.187,279.758,273.134
6.30872,304.192,348.685,267.762,274.138,272.638
7.18593,275.236,307.275,246.843,219.939,267.862
7.28375,272.007,302.657,244.51,213.896,300.738
7.30431,271.329,301.687,244.02,214.09,307.648
9.03569,214.178,219.954,202.731,230.402,249.265
9.03818,214.095,219.836,202.753,230.425,249.181
9.03942,214.115,219.777,202.764,230.437,249.139
10.0307,229.977,251.765,211.421,239.776,215.714
10.2431,233.376,258.621,213.276,237.594,208.55
10.354,235.151,262.2,214.245,236.454,214.245
10.3646,235.32,262.541,213.97,236.346,214.789
10.4686,236.985,263.629,211.271,235.277,220.131
10.7976,235.126,267.068,202.737,231.897,237.022
11.1247,233.278,270.487,194.251,228.537,234.745
11.3353,232.088,272.688,188.788,260.217,233.279
11.3515,231.996,272.858,190.271,262.654,233.166
11.4543,231.415,273.932,199.678,260.194,232.45
11.4636,232.286,274.03,200.533,259.97,232.385
11.7901,262.703,296.286,230.409,252.159,230.112
11.7975,262.493,296.795,231.094,251.98,230.06
11.8947,259.759,294.505,239.988,249.654,229.383
12.0019,256.745,291.98,233.752,247.09,228.637
12.557,241.131,278.901,201.446,233.807,259.95
12.7695,235.155,273.895,189.082,228.724,253.323
12.8691,232.352,271.546,183.281,222.754,250.214
12.9975,228.742,268.522,178.563,215.068,246.211
13.0978,225.92,262.566,174.876,209.062,243.083
13.646,196.278,230.012,154.722,176.229,225.983
14.2846,161.751,192.093,131.248,137.987,190.164
14.6211,143.561,172.116,118.882,174.889,171.294
14.6217,143.527,172.136,118.859,174.957,171.259
14.7183,138.306,175.252,115.309,185.188,165.843
14.7233,138.037,175.413,116.018,185.716,165.563
14.95,172.153,182.732,148.3,209.742,152.844
15.0578,183.814,186.21,163.643,221.161,146.798
15.0628,184.354,186.371,164.024,221.689,146.519
15.1625,195.138,202.09,171.654,232.249,140.928
15.1693,195.88,203.171,172.178,232.976,172.178
15.8565,270.227,311.539,224.774,305.779,241.89
16.173,304.468,361.449,248.997,272.253,273.997
16.1855,305.817,363.414,247.929,270.933,275.261
16.1986,304.217,365.477,246.809,269.547,276.588
16.4995,267.425,295.879,221.028,237.67,307.115
16.5151,265.521,292.277,219.693,237.51,308.695
16.6035,254.704,271.816,212.114,236.602,305.819
16.616,253.181,268.934,212.115,236.473,305.414
16.7194,240.536,266.431,212.127,235.411,302.053
18.1405,222.236,232.045,212.289,220.811,255.861
18.2483,220.848,229.437,212.301,220.824,252.358
18.2502,220.824,229.392,212.259,220.824,252.297
18.252,220.824,229.347,212.218,220.824,252.237
18.6925,220.874,239.938,202.438,220.874,237.92
18.9081,220.899,245.121,197.652,220.899,236.485
19.776,220.997,265.99,178.384,223.04,230.709
19.7853,220.998,266.214,178.452,223.063,230.647
19.7953,221.045,266.454,178.525,223.088,230.581
21.2108,227.671,268.771,188.857,226.581,221.16
21.3217,228.19,268.953,189.666,226.855,222.248
21.6513,229.733,269.493,192.072,240.292,225.481
21.66,230.07,269.507,192.135,240.647,225.566
21.7528,233.658,271.693,192.813,244.432,226.477
22.0899,246.684,279.629,216.073,258.173,229.783
22.6493,268.307,292.802,254.682,280.983,253.347
22.8661,276.686,297.907,269.644,340.157,262.479
22.8724,276.927,298.054,270.806,341.857,262.741
22.9783,281.02,332.235,290.557,370.764,267.202
23.2325,349.231,414.269,337.96,440.14,277.909
23.3072,369.293,438.397,351.902,460.545,281.058
23.4624,410.922,488.462,380.832,502.885,348.907
23.5521,434.996,517.415,397.563,527.37,388.145
23.5608,437.336,520.23,399.189,529.751,391.96
23.6711,466.928,555.818,419.754,559.848,440.19
